Query,Online_intent,Slots
那怎么写,zh_dic_char_lookup.write_lookup,那
谁可以组什么词,zh_dic_char_lookup.build_word_lookup,谁
镜子的镜,zh_dic_word_lookup.char_meaning_lookup,镜
嘴唇怎么写,zh_dic_word_lookup.write_lookup,嘴唇
两啥房间,chat.default_tts,
拖布的拖怎么写,zh_dic_word_lookup.char_write_lookup,拖
不罢休怎么写,zh_dic_word_lookup.write_lookup,罢休
我的成语,zh_dic_char_lookup.build_idiom_lookup,我
五光十色的近义词是什么,zh_dic_idiom_lookup.synonyms_lookup,五光十色
亡羊补牢讲了什么故事,zh_dic_idiom_lookup.meaning_lookup,亡羊补牢
喝怎么组词,zh_dic_char_lookup.build_word_lookup,喝
盛名与是怎么写怎么念,zh_dic_word_lookup.write_lookup,是
谢谢咋写,zh_dic_word_lookup.write_lookup,谢谢
一个鹿一个马能组什么成语,no_task,
莫怎么写,zh_dic_char_lookup.write_lookup,莫
熟组三个词,no_task,
榜样这两字怎么写,zh_dic_word_lookup.write_lookup,榜样
过的意思,zh_dic_char_lookup.meaning_lookup,过
带讨的词语有哪些,zh_dic_char_lookup.build_word_lookup,讨
年的书写,zh_dic_char_lookup.write_lookup,年
形容玻璃的词语有哪些,zh_dic_meaning_lookup.word_lookup,玻璃
时候的候能组什么词,zh_dic_word_lookup.char_build_word_lookup,候
阿弥陀佛是什么意思,zh_dic_idiom_lookup.meaning_lookup,阿弥陀佛
猫是什么意思,zh_dic_char_lookup.meaning_lookup,猫
你脑可以组什么词,no_task,
举一个AABC成语的例子,zh_dic_format_lookup.idiom_ABC_lookup,恋恋不舍津津有味翩翩起舞栩栩如生亭亭玉立窃窃私语依依不舍炯炯有神源源不断欣欣向荣滔滔不绝耿耿于怀斤斤计较闷闷不乐跃跃欲试默默无闻姗姗来迟空空如也彬彬有礼念念不忘
打喷嚏这三个字怎么写,zh_dic_word_lookup.write_lookup,打喷嚏
那下怎么写,zh_dic_word_lookup.write_lookup,下
关于冬天的好词好句,no_task,
过是什么意思,zh_dic_char_lookup.meaning_lookup,过
麻辣怎么写,zh_dic_word_lookup.write_lookup,麻辣
形容有变通思想的四字词语,no_task,
三什么小猪,,
体面的反义词,zh_dic_word_lookup.antonyms_lookup,体面
负可以怎么写,zh_dic_word_lookup.write_lookup,可以
好怎么组词,zh_dic_char_lookup.build_word_lookup,好
粉可以怎样组词,zh_dic_char_lookup.build_word_lookup,粉
苍组词,zh_dic_char_lookup.build_word_lookup,苍
升国旗的升怎么写,zh_dic_word_lookup.char_write_lookup,升
小鹿字旁的字组词,zh_dic_word_lookup.char_build_word_lookup,字
单组词,zh_dic_char_lookup.build_word_lookup,单
羽绒怎么写,zh_dic_word_lookup.write_lookup,羽绒
夏天的夏字怎么写,zh_dic_word_lookup.char_write_lookup,夏
AABC式词语,zh_dic_format_lookup.word_ABC_lookup,恋恋不舍津津有味翩翩起舞栩栩如生亭亭玉立窃窃私语依依不舍炯炯有神源源不断欣欣向荣滔滔不绝耿耿于怀斤斤计较闷闷不乐跃跃欲试默默无闻姗姗来迟空空如也彬彬有礼念念不忘
查字组词,functional.application,
里面的李笔顺,zh_dic_word_lookup.char_write_lookup,里
含,zh_dic_char_lookup.meaning_lookup,含
你好的意思,zh_dic_word_lookup.meaning_lookup,你好
难怪能造什么句子,no_task,
这周我们会去哪儿怎么写,chat.default_tts,
用尽管造句,zh_dic_word_lookup.build_sentence_lookup,尽管
要第一个再见的再,chat.default_tts,
饲养的饲能组什么成语,zh_dic_word_lookup.char_build_idiom_lookup,饲
跳舞的舞怎么念怎么写,zh_dic_sentence_lookup.write_lookup,念
三个人的形近字,no_task,
新字结尾的成语,zh_dic_include_lookup.idiom_sufix_lookup,焕然一新辞旧迎新记忆犹新万象更新温故知新耳目一新改过自新除旧布新推陈出新革故鼎新吐故纳新花样翻新除旧更新破旧立新面目一新悔过自新白头如新弃旧图新送旧迎新咸与维新
迎风飘扬中杨的笔顺,zh_dic_idiom_lookup.char_write_lookup,扬
描写雪的词成语,zh_dic_meaning_lookup.idiom_lookup,雪上加霜
覆盖怎么写,zh_dic_word_lookup.write_lookup,覆盖
群和芝是反义词吗,no_task,
山的拼音,zh_dic_char_lookup.spell_lookup,山
大象结笔画,zh_dic_meaning_lookup.char_lookup,象
天结尾的成语有哪些,zh_dic_include_lookup.idiom_sufix_lookup,杞人忧天坐井观天热火朝天无法无天锣鼓喧天胆大包天怒气冲天一飞冲天四脚朝天一步登天一手遮天仰面朝天鸡犬升天叫苦连天天外有天数九寒天别有洞天不共戴天怒火冲天人定胜天
赤的组词两个,zh_dic_char_lookup.build_word_lookup,赤
淳朴怎么写,zh_dic_word_lookup.write_lookup,淳朴
和怎么组词,zh_dic_char_lookup.build_word_lookup,和
一弯什么东西,chat.default_tts,
吴的上半部分,no_task,
蘑菇的蘑部首是啥,zh_dic_word_lookup.char_radical_lookup,蘑
一艘什么,chat.default_tts,
聪明怎么写,zh_dic_word_lookup.write_lookup,聪明
国旗是词吗,zh_dic_word_lookup.is_word_lookup,国旗
目前目前目前怎么写,zh_dic_sentence_lookup.write_lookup,目前
AACC式的词语,zh_dic_format_lookup.word_ABC_lookup,叽叽喳喳滴滴答答蹦蹦跳跳嘻嘻哈哈干干净净隐隐约约郁郁葱葱马马虎虎密密麻麻摇摇摆摆匆匆忙忙鬼鬼祟祟浩浩荡荡吞吞吐吐清清楚楚急急忙忙坑坑洼洼颤颤巍巍高高兴兴来来往往
句的里面,no_task,
新年怎么造句,no_task,
一可以组什么成语,zh_dic_char_lookup.build_idiom_lookup,一
